,AAPl,MSFT,GOOG,AMZN,NVDA,TSLA,META,AVGO,COST,PEP,AMGN,TXN,AMD,TMUS,NFLX,CMCSA,AZN,CSCO,ASML,ADBE
150,78.75,186.74,70.16,120.45,80.66,54.09,213.18,275.4,310.33,134.38,236.59,114.88,55.74,96.72,440.52,36.16,53.95,43.32,304.39,371.42
151,77.85,182.51,68.79,117.85,78.03,53.96,210.1,268.45,304.84,132.94,233.33,111.69,53.76,94.61,431.82,35.35,54.11,43.22,296.63,365.1
152,76.91,179.75,67.47,118.4,77.8,52.73,205.1,263.15,302.14,132.96,234.82,109.07,52.18,92.78,438.27,34.97,55.31,41.95,294.23,358.56
153,77.39,180.53,67.81,119.44,80.31,53.56,206.81,266.6,299.74,133.08,242.74,110.35,54.51,94.91,441.95,35.76,53.5,43.85,302.55,355.39
154,76.93,183.16,68.66,120.49,84.91,53.28,210.88,260.41,299.21,135.95,237.21,108.24,54.2,97.32,454.19,35.92,53.41,44.27,292.54,365.3
155,78.74,184.91,69.2,121.31,87.5,54.24,213.19,273.53,302.76,135.52,236.83,114.42,54.59,101.9,452.58,38.09,53.45,45.06,304.89,367.97
156,78.29,183.63,68.67,122.47,88.06,53.87,216.88,271.95,304.63,131.73,237.98,112.68,55.47,98.6,451.04,38.21,53.57,44.61,306.25,372.2
157,79.81,185.66,70.34,124.9,89.7,54.37,229.97,278.68,304.91,131.26,240.2,117.48,56.39,98.14,447.67,39.17,53.78,45.44,325.64,383.63
158,79.21,183.43,70.14,122.34,87.75,55.17,231.39,274.8,301.97,130.21,233.19,113.46,54.65,94.39,436.25,38.95,55.28,44.64,318.99,382.17
159,79.72,183.51,70.52,121.84,90.26,54.46,234.91,276.65,302.43,130.48,227.43,113.43,55.17,95.8,429.32,38.74,55.22,44.9,319.36,385.26
160,79.18,181.57,70.85,121.09,87.18,54.59,232.2,282.02,304.8,129.75,227.87,115.73,53.19,95.57,414.77,39.52,53.11,44.84,319.86,376.63
161,79.53,181.81,70.89,120.52,85.25,54.68,229.14,287.59,306.01,130.81,224.78,117.82,52.74,97.2,419.89,39.93,52.47,45.96,318.53,375.17
162,79.56,181.4,70.84,120.06,84.87,53.72,225.46,283.14,309.56,132.29,226.43,115.87,51.74,99.22,413.44,39.55,53.5,45.6,319.97,379.83
